,SourceName,TargetName,Weight,SourceID,TargetID,diceSim
131,TRA22_A2_round1control_B8_TRE_tRNA_Pro_F.ab1,TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1,1,37,208,0
132,TRA22_A3_round1control_C8_TRE_tRNA_Pro_F.ab1,TRA8_E6_Round_2_control_G3_TRE_tRNA_Pro_F.ab1,1,38,199,0
133,TRA22_A4_round1control_D8_TRE_tRNA_Pro_F.ab1,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,13,184,183,0.25
134,TRA22_A9_Round_2_control_F9_TRE_tRNA_Pro_F.ab1,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,13,159,183,0
135,TRA22_A9_Round_2_control_F9_TRE_tRNA_Pro_F.ab1,TRA2_A2_Round_3_control_B1_TRE_tRNA_Pro_F.ab1,12,159,208,0
136,TRA22_A9_Round_2_control_F9_TRE_tRNA_Pro_F.ab1,TRA20_A7_round1control_G7_TRE_tRNA_Pro_F.ab1,7,159,97,0
137,TRA22_A9_Round_2_control_F9_TRE_tRNA_Pro_F.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,11,159,241,0
138,TRA24_A1_round1control_H8_TRE_tRNA_Pro_F.ab1,TRA7_I6_TRE_tRNA_Pro.ab1,2,76,57,0
139,TRA24_A10_Round_2_control_A10_TRE_tRNA_Pro_F.ab1,TRA3_I6_Round_2_control_F2_TRE_tRNA_Pro_F.ab1,1,43,113,0
140,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,TRA12_G1_TRE_tRNA_Pro.ab1,1,39,70,0
141,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,TRA3_A6_Round_3_control_H1_TRE_tRNA_Pro_F.ab1,6,39,205,0
142,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,TRA3_E1_round1control_G1_TRE_tRNA_Pro_F.ab1,12,39,267,0.222222222
143,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,TRA7_I6_TRE_tRNA_Pro.ab1,2,39,57,0.4
144,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,TRA8_A3_Round_3_control_D3_TRE_tRNA_Pro_F.ab1,3,39,236,0
145,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,TRA9_A2_round1control_B5_TRE_tRNA_Pro_F.ab1,3,39,93,0.2
146,TRA24_A4_round1control_C9_TRE_tRNA_Pro_F.ab1,TRA11_A2_round1control_B6_TRE_tRNA_Pro_F.ab1,11,168,24,0
147,TRA24_A4_round1control_C9_TRE_tRNA_Pro_F.ab1,TRA20_A7_round1control_G7_TRE_tRNA_Pro_F.ab1,11,168,97,0
148,TRA24_A4_round1control_C9_TRE_tRNA_Pro_F.ab1,TRA24_A2_round1control_A9_TRE_tRNA_Pro_F.ab1,9,168,39,0.153846154
149,TRA24_A4_round1control_C9_TRE_tRNA_Pro_F.ab1,TRA3_A1_Round_3_control_G1_TRE_tRNA_Pro_F.ab1,9,168,261,0
150,TRA24_A4_round1control_C9_TRE_tRNA_Pro_F.ab1,TRA7_I6_TRE_tRNA_Pro.ab1,9,168,57,0.142857143
151,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,13,40,183,0.285714286
152,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA11_E1_Round_3_control_F5_TRE_tRNA_Pro_F.ab1,5,40,252,0
153,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1,12,40,120,0.181818182
154,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA20_E2_Round_3_control_F6_TRE_tRNA_Pro_F.ab1,1,40,209,0
155,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA22_C1_Round_3_control_B7_TRE_tRNA_Pro_F.ab1,2,40,225,0
156,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA3_I2_round1control_C2_TRE_tRNA_Pro_F.ab1,12,40,111,0.2
157,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1,12,40,164,0.266666667
158,TRA24_A5_round1control_D9_TRE_tRNA_Pro_F.ab1,TRA8_E5_Round_2_control_F3_TRE_tRNA_Pro_F.ab1,2,40,178,0.615384615
159,TRA24_A6_round1control_E9_TRE_tRNA_Pro_F.ab1,TRA11_A8_round1control_H6_TRE_tRNA_Pro_F.ab1,13,125,25,0
160,TRA24_A6_round1control_E9_TRE_tRNA_Pro_F.ab1,TRA20_C9_Round_3_control_C6_TRE_tRNA_Pro_F.ab1,13,125,120,0.2
161,TRA24_A6_round1control_E9_TRE_tRNA_Pro_F.ab1,TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1,11,125,87,0
162,TRA24_A6_round1control_E9_TRE_tRNA_Pro_F.ab1,TRA3_E2_round1control_A2_TRE_tRNA_Pro_F.ab1,12,125,268,0.363636364
163,TRA24_A6_round1control_E9_TRE_tRNA_Pro_F.ab1,TRA3_I5_Round_2_control_E2_TRE_tRNA_Pro_F.ab1,4,125,55,0
164,TRA24_A6_round1control_E9_TRE_tRNA_Pro_F.ab1,TRA8_C5_round1control_A4_TRE_tRNA_Pro_F.ab1,13,125,164,0.307692308
165,TRA24_A7_round1control_F9_TRE_tRNA_Pro_F.ab1,TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1,1,41,87,0
166,TRA24_A8_Round_2_control_G9_TRE_tRNA_Pro_F.ab1,P046471_TRE_tRNA_Pro.ab1,1,42,210,0
167,TRA24_C1_Round_2_control_B10_TRE_tRNA_Pro_F.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,5,144,189,0.307692308
168,TRA24_C1_Round_2_control_B10_TRE_tRNA_Pro_F.ab1,TRA8_G6_Round_2_control_E4_TRE_tRNA_Pro_F.ab1,5,144,114,0.571428571
169,TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1,TRA2_I6_Round_2_control_H1_TRE_tRNA_Pro_F.ab1,2,79,219,0.571428571
170,TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1,TRA7_A5_Round_2_control_G2_TRE_tRNA_Pro_F.ab1,2,79,6,0.363636364
171,TRA24_C10_Round_3_control_F7_TRE_tRNA_Pro_F.ab1,TRA8_I1_Round_2_control_F4_TRE_tRNA_Pro_F.ab1,2,79,13,0.4
172,TRA24_C3_Round_2_control_D10_TRE_tRNA_Pro_F.ab1,P046478_TRE_tRNA_Pro.ab1,5,77,198,0.142857143
173,TRA24_C3_Round_2_control_D10_TRE_tRNA_Pro_F.ab1,TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1,12,77,180,0.181818182
174,TRA24_C3_Round_2_control_D10_TRE_tRNA_Pro_F.ab1,TRA20_C8_Round_2_control_E9_TRE_tRNA_Pro_F.ab1,4,77,247,0
175,TRA24_C3_Round_2_control_D10_TRE_tRNA_Pro_F.ab1,TRA8_G2_Round_3_control_C4_TRE_tRNA_Pro_F.ab1,2,77,136,0.5
176,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,7,101,189,0
177,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,TRA15_A1_Round_2_control_F7_TRE_tRNA_Pro_F.ab1,8,101,176,0
178,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,TRA2_A5_Round_3_control_E1_TRE_tRNA_Pro_F.ab1,6,101,256,0
179,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,11,101,241,0
180,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,TRA7_I3_Round_2_control_C3_TRE_tRNA_Pro_F.ab1,11,101,266,0
181,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,TRA8_G5_Round_2_control_D4_TRE_tRNA_Pro_F.ab1,3,101,237,0
182,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,P045523_TRE_tRNA_Pro.ab1,3,44,238,0
183,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,P046478_TRE_tRNA_Pro.ab1,5,44,198,0.090909091
184,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,P048618_TRE_tRNA_Pro.ab1,4,44,248,0
185,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA1_A10_round1control_B1_TRE_tRNA_Pro_F.ab1,2,44,226,0
186,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1,12,44,180,0.105263158
187,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA20_C7_Round_2_control_D9_TRE_tRNA_Pro_F.ab1,3,44,239,0.142857143
188,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA7_A6_Round_2_control_H2_TRE_tRNA_Pro_F.ab1,2,44,227,0.142857143
189,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA7_A8_Round_3_control_A3_TRE_tRNA_Pro_F.ab1,1,44,7,0
190,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,4,44,10,0.095238095
191,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,TRA8_G4_Round_2_control_C4_TRE_tRNA_Pro_F.ab1,5,44,253,0
192,TRA24_C8_Round_2_control_A11_TRE_tRNA_Pro_F.ab1,TRA7_G9_round1control_F3_TRE_tRNA_Pro_F.ab1,1,45,197,0
193,TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,TRA2_G2_TRE_tRNA_Pro.ab1,2,78,3,0
194,TRA24_C9_Round_3_control_E7_TRE_tRNA_Pro_F.ab1,TRA24_C6_Round_2_control_G10_TRE_tRNA_Pro_F.ab1,2,78,228,0
195,TRA24_E1_Round_3_control_G7_TRE_tRNA_Pro_F.ab1,TRA3_I7_TRE_tRNA_Pro.ab1,10,171,177,0
196,TRA24_E2_Round_3_control_H7_TRE_tRNA_Pro_F.ab1,TRA12_G1_TRE_tRNA_Pro.ab1,1,46,70,0
197,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,P046471_TRE_tRNA_Pro.ab1,1,47,210,0
198,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,P048616_TRE_tRNA_Pro.ab1,1,47,211,0
199,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,P048619_TRE_tRNA_Pro.ab1,1,47,212,0
200,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA20_A10_Round_2_control_E8_TRE_tRNA_Pro_F.ab1,1,47,143,0
201,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA20_E4_Round_3_control_H6_TRE_tRNA_Pro_F.ab1,2,47,122,0
202,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA24_C4_Round_2_control_E10_TRE_tRNA_Pro_F.ab1,7,47,101,0
203,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA3_G1_Round_3_control_G2_TRE_tRNA_Pro_F.ab1,1,47,213,0
204,TRA24_E3_Round_3_control_A8_TRE_tRNA_Pro_F.ab1,TRA9_A1_round1control_A5_TRE_tRNA_Pro_F.ab1,2,47,229,0
205,TRA24_E4_Round_3_control_B8_TRE_tRNA_Pro_F.ab1,TRA24_C5_Round_2_control_F10_TRE_tRNA_Pro_F.ab1,3,102,44,0
206,TRA26_E10_TRE_tRNA_Pro.ab1,TRA20_C5_Round_2_control_B9_TRE_tRNA_Pro_F.ab1,12,181,180,0
207,TRA26_E8_TRE_tRNA_Pro.ab1,TRA8_C9_round1control_E4_TRE_tRNA_Pro_F.ab1,6,150,10,0
208,TRA26_E9_TRE_tRNA_Pro.ab1,TRA20_A9_Round_2_control_D8_TRE_tRNA_Pro_F.ab1,5,126,142,0.5
209,TRA26_E9_TRE_tRNA_Pro.ab1,TRA3_I7_TRE_tRNA_Pro.ab1,4,126,177,0.333333333
210,TRA26_G1_TRE_tRNA_Pro.ab1,TRA11_C8_Round_2_control_D7_TRE_tRNA_Pro_F.ab1,13,48,183,0.222222222
211,TRA26_G1_TRE_tRNA_Pro.ab1,TRA22_A4_round1control_D8_TRE_tRNA_Pro_F.ab1,2,48,184,0.4
212,TRA26_G1_TRE_tRNA_Pro.ab1,TRA9_C8_Round_3_control_G4_TRE_tRNA_Pro_F.ab1,1,48,157,0
213,TRA26_G10_TRE_tRNA_Pro.ab1,TRA12_E10_TRE_tRNA_Pro.ab1,7,160,140,0
214,TRA26_G10_TRE_tRNA_Pro.ab1,TRA2_I5_Round_2_control_G1_TRE_tRNA_Pro_F.ab1,18,160,257,0
215,TRA26_G2_TRE_tRNA_Pro.ab1,TRA7_A5_Round_2_control_G2_TRE_tRNA_Pro_F.ab1,3,103,6,0
216,TRA27_A4_TRE_tRNA_Pro.ab1,TRA15_A5_Round_2_control_B8_TRE_tRNA_Pro_F.ab1,3,104,187,0
217,TRA27_A5_TRE_tRNA_Pro.ab1,TRA3_I4_Round_2_control_D2_TRE_tRNA_Pro_F.ab1,1,49,112,0
218,TRA29_A1_Round_2_control_B11_TRE_tRNA_Pro_F.ab1,TRA15_A7_Round_3_control_B6_TRE_tRNA_Pro_F.ab1,17,188,73,0.285714286
219,TRA29_A1_Round_2_control_B11_TRE_tRNA_Pro_F.ab1,TRA6_A1_round1control_E2_TRE_tRNA_Pro_F.ab1,17,188,169,0.333333333
220,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,8,80,214,0.266666667
221,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,P046659_TRE_tRNA_Pro.ab1,8,80,234,0
222,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA11_A6_round1control_F6_TRE_tRNA_Pro_F.ab1,7,80,258,0
223,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA11_C10_Round_3_control_E5_TRE_tRNA_Pro_F.ab1,8,80,65,0.333333333
224,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA16_A7_TRE_tRNA_Pro.ab1,2,80,230,0
225,TRA29_A2_Round_2_control_C11_TRE_tRNA_Pro_F.ab1,TRA20_E1_Round_3_control_E6_TRE_tRNA_Pro_F.ab1,8,80,121,0.444444444
226,TRA29_A3_Round_2_control_D11_TRE_tRNA_Pro_F.ab1,TRA24_E4_Round_3_control_B8_TRE_tRNA_Pro_F.ab1,4,127,102,0
227,TRA29_A4_Round_2_control_E11_TRE_tRNA_Pro_F.ab1,TRA24_E4_Round_3_control_B8_TRE_tRNA_Pro_F.ab1,2,81,102,0
228,TRA29_A5_Round_2_control_F11_TRE_tRNA_Pro_F.ab1,TRA1_C9_Round_2_control_B1_TRE_tRNA_Pro_F.ab1,2,82,231,0
229,TRA29_A6_Round_2_control_G11_TRE_tRNA_Pro_F.ab1,TRA3_C10_round1control_H1_TRE_tRNA_Pro_F.ab1,4,128,241,0
230,TRA29_A8_Round_2_control_A12_TRE_tRNA_Pro_F.ab1,TRA9_C1_Round_2_control_E5_TRE_tRNA_Pro_F.ab1,8,165,116,0
231,TRA29_A9_Round_2_control_B12_TRE_tRNA_Pro_F.ab1,TRA8_C10_round1control_F4_TRE_tRNA_Pro_F.ab1,3,105,91,0
232,TRA29_C10_TRE_tRNA_Pro.ab1,TRA26_E8_TRE_tRNA_Pro.ab1,4,129,150,0
233,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,P046473_TRE_tRNA_Pro.ab1,13,50,190,0
234,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,1,50,214,0
235,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,TRA11_A6_round1control_F6_TRE_tRNA_Pro_F.ab1,8,50,258,0
236,TRA29_C2_Round_3_control_E8_TRE_tRNA_Pro_F.ab1,TRA8_G1_Round_2_control_B4_TRE_tRNA_Pro_F.ab1,3,50,240,0
237,TRA29_C3_TRE_tRNA_Pro.ab1,P048492_TRE_tRNA_Pro.ab1,5,145,0,0
238,TRA29_C6_TRE_tRNA_Pro.ab1,P049254_TRE_tRNA_Pro.ab1,3,106,201,0
239,TRA29_C7_TRE_tRNA_Pro.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,2,83,189,0.625
240,TRA29_C7_TRE_tRNA_Pro.ab1,TRA2_A1_Round_3_control_A1_TRE_tRNA_Pro_F.ab1,6,83,146,0.545454545
241,TRA29_C7_TRE_tRNA_Pro.ab1,TRA24_C1_Round_2_control_B10_TRE_tRNA_Pro_F.ab1,5,83,144,0.444444444
242,TRA29_C7_TRE_tRNA_Pro.ab1,TRA8_G6_Round_2_control_E4_TRE_tRNA_Pro_F.ab1,4,83,114,0.6
243,TRA29_C7_TRE_tRNA_Pro.ab1,TRA9_C9_Round_3_control_H4_TRE_tRNA_Pro_F.ab1,9,83,166,0.25
244,TRA29_C9_TRE_tRNA_Pro.ab1,76_Round_2_control_G12_TRE_tRNA_Pro_F.ab1,6,151,189,0.307692308
245,TRA29_C9_TRE_tRNA_Pro.ab1,TRA2_A1_Round_3_control_A1_TRE_tRNA_Pro_F.ab1,6,151,146,0.5
246,TRA29_C9_TRE_tRNA_Pro.ab1,TRA29_C7_TRE_tRNA_Pro.ab1,6,151,83,0.444444444
247,TRA3_E10_Round_3_control_F2_TRE_tRNA_Pro_F.ab1,P048665_TRE_tRNA_Pro.ab1,3,87,232,0
248,TRA3_E5_Round_2_control_C2_TRE_tRNA_Pro_F.ab1,P046478_TRE_tRNA_Pro.ab1,4,110,198,0.153846154
249,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,P046469_TRE_tRNA_Pro.ab1,2,4,217,0.307692308
250,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,P046476_TRE_tRNA_Pro.ab1,3,4,214,0.105263158
251,TRA3_E6_Round_3_control_B2_TRE_tRNA_Pro_F.ab1,TRA3_C1_Round_3_control_A2_TRE_tRNA_Pro_F.ab1,1,4,192,0
252,TRA3_E7_Round_3_control_C2_TRE_tRNA_Pro_F.ab1,TRA2_C7_TRE_tRNA_Pro.ab1,7,153,215,0
253,TRA3_E8_Round_3_control_D2_TRE_tRNA_Pro_F.ab1,P046472_TRE_tRNA_Pro.ab1,5,132,250,0
